SU,strata,NS,Lat,EW,Lon
890,4,N,11.02811,E,24.14116
891,4,N,11.02801,E,24.52499
892,4,N,11.02797,E,24.90882
893,4,N,11.02798,E,25.29264
894,4,N,11.02805,E,25.67647
917,4,N,10.68383,E,23.37324
918,4,N,10.68362,E,23.75713
919,4,N,10.68347,E,24.14102
920,4,N,10.68337,E,24.52491
921,4,N,10.68333,E,24.90880
922,4,N,10.68335,E,25.29269
923,4,N,10.68342,E,25.67658
943,4,N,10.33943,E,23.75693
944,4,N,10.33927,E,24.14088
945,4,N,10.33917,E,24.52483
946,4,N,10.33913,E,24.90879
965,4,N,9.99565,E2,3.75672
966,4,N,9.99550,E2,4.14074
967,4,N,9.99540,E2,4.52476
968,4,N,9.99536,E2,4.90877
982,4,N,9.65228,E2,3.75652
983,4,N,9.65213,E2,4.14060
984,4,N,9.65203,E2,4.52468
993,4,N,9.30932,E2,3.75632
994,4,N,9.30916,E2,4.14046
995,4,N,9.30907,E2,4.52460
996,4,N,8.96673,E2,3.75611
997,4,N,8.96658,E2,4.14032
998,4,N,8.96648,E2,4.52452
484,4,N,13.28033,E,23.18352
485,4,N,13.28009,E,23.56694
486,4,N,13.27991,E,23.95036
487,4,N,13.27978,E,24.33378
499,4,N,12.93252,E,23.18322
500,4,N,12.93228,E,23.56671
501,4,N,12.93210,E,23.95019
511,4,N,12.58553,E,22.79938
512,4,N,12.58523,E,23.18293
513,4,N,12.58499,E,23.56647
530,4,N,12.23876,E,22.79902
531,4,N,12.23846,E,23.18263
532,4,N,12.23822,E,23.56624
551,4,N,11.89248,E,22.79866
552,4,N,11.89219,E,23.18233
553,4,N,11.89195,E,23.56601
573,4,N,11.54669,E,22.79830
574,4,N,11.54640,E,23.18204
575,4,N,11.54616,E,23.56577
600,4,N,11.20108,E,23.18174
750,4,N,13.45432,E,23.37536
763,4,N,13.10650,E,22.99165
764,4,N,13.10623,E,23.37510
765,4,N,13.10602,E,23.75855
766,4,N,13.10587,E,24.14200
777,4,N,12.75895,E,22.99132
778,4,N,12.75868,E,23.37483
779,4,N,12.75847,E,23.75835
792,4,N,12.41192,E,22.99099
793,4,N,12.41166,E,23.37457
794,4,N,12.41144,E,23.75815
811,4,N,12.06573,E,22.60702
812,4,N,12.06540,E,22.99066
813,4,N,12.06514,E,23.37430
834,4,N,11.71970,E,22.60663
835,4,N,11.71937,E,22.99034
836,4,N,11.71911,E,23.37404
857,4,N,11.37382,E,22.99001
858,4,N,11.37356,E,23.37377
315,3,N,14.52037,E,34.87215
456,4,N,14.34613,E,35.06457
457,4,N,14.34766,E,35.44780
458,4,N,14.34925,E,35.83102
462,4,N,13.99374,E,34.29963
463,4,N,13.99515,E,34.68292
464,4,N,13.99662,E,35.06621
465,4,N,13.99814,E,35.44950
466,4,N,13.99972,E,35.83279
467,4,N,14.00136,E,36.21607
476,4,N,13.64480,E,34.30115
477,4,N,13.64621,E,34.68450
478,4,N,13.64767,E,35.06785
479,4,N,13.64919,E,35.45120
480,4,N,13.65077,E,35.83456
481,4,N,13.65241,E,36.21790
491,4,N,13.29782,E,34.68608
492,4,N,13.29929,E,35.06950
493,4,N,13.30081,E,35.45291
494,4,N,13.30238,E,35.83632
495,4,N,13.30402,E,36.21974
508,4,N,12.95144,E,35.07114
509,4,N,12.95296,E,35.45462
510,4,N,12.95454,E,35.83809
726,4,N,14.52343,E,35.63854
729,4,N,14.16912,E,34.49050
730,4,N,14.17056,E,34.87376
731,4,N,14.17206,E,35.25702
732,4,N,14.17361,E,35.64028
733,4,N,14.17522,E,36.02353
734,4,N,14.17689,E,36.40679
741,4,N,13.81989,E,34.49205
742,4,N,13.82133,E,34.87537
743,4,N,13.82283,E,35.25869
744,4,N,13.82438,E,35.64201
745,4,N,13.82599,E,36.02533
746,4,N,13.82765,E,36.40865
756,4,N,13.47123,E,34.49360
757,4,N,13.47267,E,34.87698
758,4,N,13.47416,E,35.26037
759,4,N,13.47571,E,35.64375
