"su_su_no","plot_plot_no","lsp_no","lsp_lucs_no","litter_depth","litter_depth_unit_name","litter_composition"
"0567","1","2","1","2.0","","2"
"0567","1","3","1","3.0","","2"
"0567","2","1","1","1.0","","2"
"0567","2","2","1","2.0","","2"
"0567","2","3","1","2.0","","2"
"0435","1","1","1","3.0","","2"
"0435","1","2","1","5.0","","2"
"0435","1","3","1","3.0","","2"
"0435","2","1","1","1.0","","2"
"0435","2","2","1","0.0","","2"
"0435","2","3","1","2.0","","2"
"0435","3","1","1","2.0","","2"
"0435","3","2","1","2.0","","2"
"0435","3","3","1","2.0","","2"
"0435","4","1","1","0.0","","2"
"0435","4","2","1","1.0","","2"
"0435","4","3","1","0.0","","2"
"0518","1","1","1","1.0","","2"
"0518","1","2","1","2.0","","2"
"0518","1","3","1","2.0","","2"
"0518","2","1","1","1.0","","2"
"0518","2","2","1","1.0","","2"
"0518","2","3","1","2.0","","2"
"0518","3","1","1","1.0","","2"
"0518","3","2","1","2.0","","2"
"0518","3","3","1","1.0","","2"
"0518","4","1","1","1.0","","2"
"0518","4","2","1","0.0","","2"
"0518","4","3","1","1.0","","2"
"0558","1","1","1","2.0","","2"
"0558","1","2","1","2.0","","2"
"0558","1","3","1","2.0","","2"
"0558","2","1","1","3.0","","2"
"0558","2","2","1","2.0","","2"
"0558","2","3","1","4.0","","2"
"0558","3","1","1","2.0","","2"
"0558","3","2","1","3.0","","2"
"0558","3","3","1","2.0","","2"
"0558","4","1","1","2.0","","2"
"0558","4","2","1","3.0","","2"
"0558","4","3","1","2.0","","2"
"0614","1","1","1","8.0","","1"
"0614","1","2","1","2.0","","2"
"0614","1","3","1","0.0","","2"
"0614","2","1","1","3.0","","2"
"0614","2","2","1","2.0","","2"
"0614","2","3","1","2.0","","2"
"0614","3","1","1","1.0","","2"
"0614","3","2","1","5.0","","1"
"0614","3","3","1","3.0","","2"
"0614","4","1","1","8.0","","2"
"0614","4","2","1","7.0","","2"
"0614","4","3","1","10.0","","2"
"0615","3","1","1","3.0","","2"
"0615","3","2","1","3.0","","1"
"0615","3","3","1","8.0","","2"
"0615","4","1","1","5.0","","2"
"0615","4","2","1","4.0","","2"
"0615","4","3","1","4.0","","2"
"0615","1","1","1","3.0","","2"
"0615","1","2","1","8.0","","2"
"0615","1","3","1","2.0","","2"
"0615","2","1","1","4.0","","2"
"0615","2","2","1","5.0","","2"
"0615","2","3","1","2.0","","2"
"0557","2","1","1","0.0","","2"
"0557","2","2","1","1.0","","2"
"0557","2","3","1","0.0","","2"
"0557","3","1","1","0.0","","2"
"0557","3","2","1","0.0","","2"
"0557","3","3","1","0.0","","2"
"0557","4","1","1","0.0","","2"
"0557","4","2","1","0.0","","2"
"0557","4","3","1","0.0","","2"
"0557","1","1","1","0.0","","2"
"0557","1","2","1","0.0","","2"
"0557","1","3","1","0.0","","2"
"0825","1","1","1","3.0","","2"
"0825","1","2","1","2.0","","2"
"0825","1","3","1","4.0","","2"
"0825","2","1","1","2.0","","2"
"0825","2","2","1","4.0","","2"
"0825","2","3","1","2.0","","2"
"0825","3","1","1","2.0","","2"
"0825","3","21","1","3.0","","2"
"0825","3","3","1","2.0","","2"
"0825","4","1","1","3.0","","2"
"0825","4","2","1","3.0","","2"
"0825","4","3","1","2.0","","2"
"0594","1","1","1","4.0","","2"
"0594","1","2","1","6.0","","2"
"0594","1","3","1","3.0","","2"
"0594","2","1","1","10.0","","2"
"0594","2","2","1","15.0","","2"
"0594","2","3","1","5.0","","2"
"0594","3","1","1","5.0","","2"
"0594","3","2","1","3.0","","2"
"0594","3","3","1","2.0","","2"
"0594","4","1","1","7.0","","2"
"0594","4","21","1","10.0","","2"
"0594","4","3","1","5.0","","2"
"0445","4","1","1","5.0","","2"
"0445","4","2","1","1.0","","2"
"0445","4","3","1","1.0","","2"
"0445","1","1","1","1.0","","2"
"0445","1","2","1","3.0","","1"
"0445","1","3","1","1.0","","2"
"0445","2","1","2","0.0","","2"
"0445","2","2","1","2.0","","2"
"0445","2","3","1","0.0","","2"
"0445","3","1","1","6.0","","2"
"0445","3","2","1","2.0","","2"
"0445","3","3","1","1.0","","2"
"0432","1","1","1","1.0","","2"
"0432","1","2","1","1.0","","2"
"0432","1","3","1","1.0","","2"
"0432","2","1","1","0.0","","2"
"0432","2","2","1","2.0","","2"
"0432","2","3","1","3.0","","2"
"0432","3","1","1","1.0","","2"
"0432","3","2","2","1.0","","2"
"0432","3","3","2","2.0","","2"
"0432","4","1","1","1.0","","2"
"0432","4","2","1","0.0","","2"
"0432","4","3","1","4.0","","2"
"0901","3","1","1","15.0","","2"
"0901","3","2","1","5.0","","2"
"0901","3","3","1","2.0","","1"
"0901","4","1","1","12.0","","2"
"0901","4","2","1","3.0","","2"
"0901","4","3","1","3.0","","1"
"0901","1","1","1","1.0","","2"
"0901","1","2","1","3.0","","1"
"0901","1","3","1","7.0","","2"
"0901","2","1","1","3.0","","2"
"0901","2","2","1","3.0","","1"
"0901","2","3","1","0.0","","2"
"0899","1","1","1","0.0","","2"
"0899","1","2","1","2.0","","1"
"0899","1","3","1","1.0","","2"
"0899","2","1","1","0.0","","2"
"0899","2","2","1","3.0","","2"
"0899","2","3","1","0.0","","2"
"0899","3","1","1","2.0","","2"
"0899","3","2","2","4.0","","2"
"0899","3","3","2","2.0","","2"
"0899","4","1","1","2.0","","2"
"0899","4","2","1","5.0","","2"
"0899","4","3","1","0.0","","2"
"0644","4","1","1","5.0","","1"
"0644","4","2","1","1.0","","2"
"0644","4","3","2","0.0","","2"
"0644","1","1","1","4.0","","2"
"0644","1","2","1","0.0","","2"
"0644","1","3","2","5.0","","2"
"0644","2","1","1","2.0","","2"
"0644","2","2","2","2.0","","2"
"0644","2","3","2","5.0","","2"
"0644","3","1","1","1.0","","2"
"0644","3","2","1","1.0","","2"
"0644","3","3","1","2.0","","2"
"0559","1","1","1","0.0","","2"
"0559","1","2","1","2.0","","2"
"0559","1","3","1","0.0","","2"
"0559","2","1","1","0.0","","2"
"0559","2","2","1","0.0","","2"
"0559","2","3","1","2.0","","2"
"0559","3","1","1","1.0","","2"
"0559","3","2","1","1.0","","2"
"0559","3","3","1","0.0","","2"
"0559","4","1","1","0.0","","2"
"0559","4","2","1","0.0","","2"
"0559","4","3","1","0.0","","2"
"0879","2","1","1","10.0","","2"
"0879","2","2","1","4.0","","2"
"0879","2","3","1","5.0","","2"
"0879","3","1","1","2.0","","2"
"0879","3","2","1","8.0","","2"
"0879","3","3","1","1.0","","2"
"0879","4","1","1","2.0","","2"
"0879","4","2","1","2.0","","2"
"0879","4","3","1","2.0","","2"
"0879","1","1","1","2.0","","2"
"0879","1","2","1","1.0","","2"
"0879","1","3","1","2.0","","2"
"0676","1","1","1","0.0","","2"
"0676","1","2","1","4.0","","1"
"0676","1","3","1","7.0","","2"
"0676","2","1","1","2.0","","2"
"0676","2","2","1","2.0","","2"
"0676","2","3","1","4.0","","2"
"0676","3","1","1","1.0","","2"
"0676","3","2","1","2.0","","2"
"0676","3","31","1","4.0","","1"
"0676","4","1","1","2.0","","2"
"0676","4","2","1","15.0","","1"
"0676","4","3","1","2.0","","2"
"0783","1","1","1","0.0","","2"
"0783","1","2","1","0.0","","2"
"0783","1","3","1","0.0","","2"
"0783","2","1","1","0.0","","2"
"0783","2","2","1","0.0","","2"
"0783","2","3","1","0.0","","2"
"0783","3","1","1","0.0","","2"
"0783","3","2","1","0.0","","2"
"0783","3","3","1","0.0","","2"
"0783","4","1","1","0.0","","2"
"0783","4","2","1","0.0","","2"
"0783","4","3","1","0.0","","2"
"0803","1","1","1","2.0","","2"
"0803","1","2","1","3.0","","2"
"0803","1","3","1","2.0","","2"
"0803","2","1","1","2.0","","2"
"0803","2","2","1","1.0","","2"
"0803","2","31","1","1.0","","2"
"0803","3","1","1","1.0","","2"
"0803","3","2","1","1.0","","2"
"0803","3","3","1","2.0","","2"
"0803","4","1","1","2.0","","2"
"0803","4","2","1","2.0","","2"
"0803","4","3","1","4.0","","2"
"0872","1","1","1","1.0","","2"
"0872","1","2","1","2.0","","2"
"0872","1","3","1","3.0","","1"
"0872","2","1","1","1.0","","2"
"0872","2","2","1","4.0","","2"
"0872","2","3","1","2.0","","2"
"0872","3","1","1","4.0","","2"
"0872","3","2","1","2.0","","2"
"0872","3","3","1","4.0","","2"
"0872","4","1","1","10.0","","2"
"0872","4","2","1","5.0","","2"
"0872","4","3","1","11.0","","2"
"0641","2","1","1","0.0","","2"
"0641","2","2","1","1.0","","2"
"0641","2","3","1","2.0","","2"
"0641","1","1","2","2.0","","2"
"0641","1","2","2","2.0","","2"
"0641","1","3","2","4.0","","2"
"0641","3","1","1","2.0","","2"
"0641","3","2","1","3.0","","2"
"0641","3","3","1","2.0","","2"
"0641","4","1","","","",""
"0641","4","2","","","",""
"0641","4","3","","","",""
"0519","2","1","1","0.0","","2"
"0519","2","2","1","0.0","","2"
"0519","2","3","1","0.0","","2"
"0519","3","1","1","4.0","","2"
"0519","3","2","1","2.0","","2"
"0519","3","3","1","0.0","","2"
"0952","3","1","1","2.0","","2"
"0952","3","2","1","1.0","","2"
"0952","3","3","1","2.0","","2"
"0952","4","1","1","2.0","","2"
"0952","4","2","","","",""
"0952","4","3","","","",""
"0952","1","1","1","2.0","","2"
"0952","1","2","1","3.0","","2"
"0952","1","3","1","8.0","","2"
