"su_su_no","plot_plot_no","tree_lucs","lucc","tree_no","tree_or_stump","tree_species_code","tree_species_scientific_name","tree_species_vernacular_name","tree_species_language_code","tree_species_language_variety","other_species","tree_axis_distance","tree_axis_distance_unit_name","tree_left_axis","tree_left_axis_unit_name","tree_right_axis","tree_right_axis_unit_name","diameter","diameter_unit_name","tree_dbh","tree_dbh_unit_name","tree_diameter_height","tree_diameter_height_unit_name","years_since_cut","tree_height","tree_height_unit_name","tree_bole_height","tree_bole_height_unit_name","stem_quality","crown_condition","overall_tree_condition","causative_agent[1]","causative_agent_qualifier[1]","causative_agent[2]","causative_agent_qualifier[2]","causative_agent[3]","causative_agent_qualifier[3]","decomposition_status","branch1_diameter","branch1_diameter_unit_name","branch1_length","branch1_length_unit_name","branch2_diameter","branch2_diameter_unit_name","branch2_length","branch2_length_unit_name","branch3_diameter","branch3_diameter_unit_name","branch3_length","branch3_length_unit_name","branch4_diameter","branch4_diameter_unit_name","branch4_length","branch4_length_unit_name"
"0928","4","1","FSD","3","tree","BAL/AEG","Balanites aegyptiaca","","","","","81.0","","","","4.0","","17.0","","16.0","","1.3","","","616.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","4","1","FSD","4","tree","BAL/AEG","Balanites aegyptiaca","","","","","118.0","","","","3.0","","26.0","","26.0","","1.3","","","8.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","1","tree","COM/ACU","Combretum aculeatum","","","","","16.0","","6.0","","","","17.0","","16.0","","1.2","","","7.0","","1.3","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","2","tree","COM/ACU","Combretum aculeatum","","","","","16.0","","6.0","","","","17.0","","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","3","tree","MIT/INE","Mitragyna inermis","","","","","16.0","","6.0","","","","34.0","","33.0","","0.6","","","8.0","","0.7","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","4","tree","COM/ACU","Combretum aculeatum","","","","","21.0","","","","8.0","","48.0","","48.0","","1.3","","","6.0","","1.5","","1","5","5","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","5","tree","","","","","","","42.0","","5.0","","","","21.0","","21.0","","1.0","","","8.0","","1.1","","1","5","4","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","6","tree","ANO/LEI","Anogeissus leiocarpus","","","","","52.0","","8.0","","","","54.0","","49.0","","1.3","","","12.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","7","tree","STE/SET","Sterculia setigera","","","","","69.0","","","","9.0","","90.0","","75.0","","","","","18.0","","8.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","8","tree","ANO/LEI","Anogeissus leiocarpus","","","","","70.0","","","","9.0","","28.0","","22.0","","1.3","","","8.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","9","tree","COM/ACU","Combretum aculeatum","","","","","74.0","","","","6.0","","12.0","","12.0","","1.3","","","6.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","10","tree","COM/ACU","Combretum aculeatum","","","","","75.0","","","","4.0","","17.0","","15.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","","","11","tree","COM/ACU","Combretum aculeatum","","","","","75.0","","","","4.0","","18.0","","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","12","tree","COM/ACU","Combretum aculeatum","","","","","75.0","","5.0","","","","50.0","","48.0","","0.7","","","11.0","","0.9","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","","","13","tree","COM/ACU","Combretum aculeatum","","","","","78.0","","","","7.0","","27.0","","26.0","","1.3","","","11.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","14","tree","COM/ACU","Combretum aculeatum","","","","","84.0","","1.0","","","","34.0","","35.0","","1.1","","","10.0","","1.3","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","","","15","tree","","","","","","","84.0","","","","9.0","","29.0","","25.0","","1.3","","","12.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","16","tree","TER/BRO","Terminalia brownii","","","","","87.0","","","","7.0","","34.0","","35.0","","1.3","","","10.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
