"su_su_no","plot_no","plot_access_plot_location_given_srs","plot_access_plot_location_given_x","plot_access_plot_location_given_y","plot_access_plot_starting_position_srs","plot_access_plot_starting_position_x","plot_access_plot_starting_position_y","plot_access_plot_start_time_hour","plot_access_plot_start_time_minute","plot_access_plot_end_time_hour","plot_access_plot_end_time_minute","time_work_within_plot_day_1_date_day_1_year","time_work_within_plot_day_1_date_day_1_month","time_work_within_plot_day_1_date_day_1_day","time_work_within_plot_day_1_plot_start_time_d1_hour","time_work_within_plot_day_1_plot_start_time_d1_minute","time_work_within_plot_day_1_plot_end_time_d1_hour","time_work_within_plot_day_1_plot_end_time_d1_minute","time_work_within_plot_day_2_date_day_2_year","time_work_within_plot_day_2_date_day_2_month","time_work_within_plot_day_2_date_day_2_day","time_work_within_plot_day_2_plot_start_time_d2_hour","time_work_within_plot_day_2_plot_start_time_d2_minute","time_work_within_plot_day_2_plot_end_time_d2_hour","time_work_within_plot_day_2_plot_end_time_d2_minute","middle_point_plot_middle_point_srs","middle_point_plot_middle_point_x","middle_point_plot_middle_point_y","plot_notes","plot_plan_plot_end_point_srs","plot_plan_plot_end_point_x","plot_plan_plot_end_point_y","plot_plan_plot_plan_scan","plot_plan_total_lucs_found","tree_notes","csp_tree_notes","rsp_shrub_notes","fallen_deadwood_notes","subplots_notes"
"0594","1","EPSG:32636","392071.0","1277804.0","EPSG:32636","392071.000259443","1277803.64559242","8","45","8","48","2018","4","21","8","49","9","7","","","","","","","","EPSG:32636","392071.814564817","1277926.82682699","","EPSG:32636","392072.618652436","1278050.94798905","119084_114.jpg","1","","No small trees to measure in Csp1, Csp2and Csp3","No shrub andbushes in Rsp1, Fdt2 andFdt3","No fallen dead wood in FDT1, Fdt2 andFdt3",""
"0594","2","EPSG:32636","392071.0","1278304.0","EPSG:32636","392071.126617569","1278304.75077455","9","10","9","13","2018","4","21","9","14","9","32","","","","","","","","EPSG:32636","392194.432266434","1278301.76091952","","EPSG:32636","392326.062695459","1278310.2265057","119084_297.jpg","1","","No small trees to measure in Csp1, Csp2and Csp3","No shrub and bushes in Rsp2 and Rsp3","No fallen dead wood in FDT1, Fdt2 andFdt3",""
"0594","3","EPSG:32636","392571.0","1278304.0","EPSG:32636","392573.603571079","1278303.97260725","9","32","9","38","2018","4","21","9","39","10","7","","","","","","","","EPSG:32636","392571.509533859","1278182.60895882","","EPSG:32636","392575.19054391","1278057.73114913","119084_478.jpg","1","","No small trees to measure in Csp1, Csp2 and Csp3","No shrub and bushes in Rsp1, Rsp2 and Rsp3","No fallen dead wood in FDT1, Fdt2 andFdt3",""
"0594","4","EPSG:32636","392571.0","1277804.0","EPSG:32636","392572.568589136","1277804.23834787","10","8","10","12","2018","4","21","10","12","10","35","","","","","","","","EPSG:32636","392449.784661353","1277807.75036983","","EPSG:32636","392329.054397729","1277800.99128737","119084_650.jpg","1","","No small trees to measure in Csp1, Csp2and Csp3","No shrub and bushes in Rsp1, Rsp2 and Rsp3","No fallen dead wood in FDT1, Fdt2 andFdt3",""
"0445","4","EPSG:32635","565434.0","1334163.0","EPSG:32635","565402.245595083","1334171.85255255","7","25","7","27","2017","12","12","7","27","8","22","","","","","","","","EPSG:32635","565316.102852965","1334161.46638205","","EPSG:32635","565192.432781539","1334158.66765335","24558_121.jpg","1","","No small trees to measure in Csp1  .Csp2  and Csp3","No shrubs and bushes inRsp3","No fallen dead wood  in Fdt1 .Fdt2 and Fdt3",""
"0445","1","EPSG:32635","564934.0","1334163.0","EPSG:32635","564951.670672663","1334157.21483291","8","22","8","26","2017","12","12","8","26","9","30","","","","","","","","EPSG:32635","564929.938145807","1334286.34906723","","EPSG:32635","564930.579247791","1334408.93861","24558_395.jpg","1","","No small trees inCsp1. CSP2 Csp3","No shrub and b ushes to measure in Rsp1 .Rsp 2 and Rsp3 2","",""
"0445","2","EPSG:32635","564934.0","1334663.0","EPSG:32635","564928.585877872","1334643.44342243","9","30","9","38","2017","12","12","9","38","10","18","","","","","","","","EPSG:32635","565051.944181743","1334653.38971278","","EPSG:32635","565192.308778655","1334645.73312467","24558_1014.jpg","1","","No small trees in Csp1, Csp2and Csp3","No shrub and bushes  in Rsp1and Rsp2 and Rsp3","No fallen dead wood  in  Fdt1.Fdt2 and FDT3",""
"0445","3","EPSG:32635","565434.0","1334663.0","EPSG:32635","565430.993728484","1334665.58989219","10","18","10","27","2017","12","12","10","27","12","30","","","","","","","","EPSG:32635","565436.425203005","1334533.52598485","","EPSG:32635","565430.88603897","1334412.22607995","24558_1319.jpg","2","","No small trees  in Rsp1 .Rsp2","","No fallen dead wood in FDT1  .FDT2 andFdt3",""
"0432","1","EPSG:32635","523112.0","1372381.0","EPSG:32635","523111.462759063","1372379.30467836","10","5","10","7","2017","12","13","10","7","10","55","","","","","","","","EPSG:32635","523106.813352771","1372502.09938479","","EPSG:32635","523107.956970025","1372627.90418108","26351_114.jpg","2","","No small trees to measure in Csp1, Csp2and Csp3","","","There litter depth in lsp1"
"0432","2","EPSG:32635","523112.0","1372881.0","EPSG:32635","523107.748095048","1372885.14814081","10","55","11","0","2017","12","13","11","0","11","31","","","","","","","","EPSG:32635","523234.524694453","1372882.67270799","","EPSG:32635","523360.979696","1372885.35500145","26351_359.jpg","1","","No small trees to measure in Csp1, Csp2and  Csp3","","No fallen dead wood in FDT1 , FDT2 andFdt3",""
